text,category,sentiment
Oriental Sports Ctr is clean and comfortable,Cleanliness,positive
Laoximen was on time today for commuters,Delay,positive
Hongkou Stadium feels unsafe at the platform,Safety,negative
江苏路站有异味，环境太差 for commuters,Cleanliness,negative
大世界站扶梯口推搡很危险 for commuters,Safety,negative
镇坪路站早高峰太挤了 for commuters,Crowding,negative
陕西南路站今天晚点太严重了,Delay,negative
老西门站扶梯口推搡很危险 for commuters,Safety,negative
Siping Rd was on time today,Delay,positive
龙阳路站等了很久还是没有车 for commuters,Delay,negative
老西门站今天很准时 for commuters,Delay,positive
陆家嘴站有异味，环境太差，影响通勤体验,Cleanliness,negative
Nanjing Rd (E) feels safe and well managed，影响通勤体验,Safety,positive
Siping Rd feels unsafe at the platform，请尽快处理,Safety,negative
镇坪路站很干净，请尽快处理,Cleanliness,positive
四平路站早高峰太挤了，影响通勤体验,Crowding,negative
龙阳路站很干净 for commuters,Cleanliness,positive
曹杨路站今天客流正常 today,Other,neutral
Hongqiao Railway Stn was on time today,Delay,positive
陕西南路站广播太响，噪音很大,Noise,negative
South Shanghai Railway feels safe and well managed during rush hour,Safety,positive
Longyang Road is too noisy today，请尽快处理,Noise,negative
上海南站站今天很安静，请尽快处理,Noise,positive
南京东路站今天人流顺畅,Crowding,positive
Oriental Sports Ctr has convenient accessibility,Accessibility,positive
龙阳路站施工声音太吵 for commuters,Noise,negative
东方体育中心站施工声音太吵，影响通勤体验,Noise,negative
South Shanghai Railway feels dirty today for commuters,Cleanliness,negative
Xinzhuang is packed during rush hour today,Crowding,negative
世纪大道站有一些乘客排队 during rush hour,Other,neutral
虹口足球场站有一些乘客排队 today,Other,neutral
Dashijie feels dirty today for commuters,Cleanliness,negative
Zhenping Rd was not crowded today today,Crowding,positive
徐家汇站秩序很好，很安全 today,Safety,positive
镇坪路站广播太响，噪音很大,Noise,negative
Nanjing W. Rd feels dirty today during rush hour,Cleanliness,negative
Dashijie elevator is broken and not accessible today,Accessibility,negative
虹桥火车站站秩序很好，很安全,Safety,positive
South Shanghai Railway was not crowded today，请尽快处理,Crowding,positive
镇坪路站电梯坏了，很不方便，请尽快处理,Accessibility,negative
浦东机场站地面有垃圾，卫生不好 today,Cleanliness,negative
陕西南路站地面有垃圾，卫生不好 today,Cleanliness,negative
Hongqiao Railway Stn is clean and comfortable today,Cleanliness,positive
Nanjing Rd (E) was on time today，请尽快处理,Delay,positive
Yu Garden has convenient accessibility during rush hour,Accessibility,positive
虹桥火车站站有异味，环境太差，影响通勤体验,Cleanliness,negative
Yu Garden feels safe and well managed，请尽快处理,Safety,positive
常熟路站早高峰太挤了 today,Crowding,negative
Zhenping Rd feels unsafe at the platform，影响通勤体验,Safety,negative
汉中路站有异味，环境太差 during rush hour,Cleanliness,negative
Xinzhuang is clean and comfortable，请尽快处理,Cleanliness,positive
大世界站人多到挤不上车 during rush hour,Crowding,negative
静安寺站很干净,Cleanliness,positive
曹杨路站今天客流正常 for commuters,Other,neutral
汉中路站早高峰太挤了 during rush hour,Crowding,negative
江苏路站今天客流正常,Other,neutral
海伦路站地面有垃圾，卫生不好，请尽快处理,Cleanliness,negative
东方体育中心站人流组织不好，存在安全问题 during rush hour,Safety,negative
Zhongshan Park has normal passenger flow today during rush hour,Other,neutral
Yishan Rd feels unsafe at the platform today,Safety,negative
Nanjing W. Rd was not crowded today,Crowding,positive
曹杨路站电梯方便，无障碍体验很好 today,Accessibility,positive
莘庄站地面有垃圾，卫生不好,Cleanliness,negative
Dashijie was quiet today today,Noise,positive
老西门站无障碍通道不好找,Accessibility,negative
Jiangsu Rd feels unsafe at the platform,Safety,negative
上海南站站今天很安静，请尽快处理,Noise,positive
江苏路站等了很久还是没有车,Delay,negative
Lujiazui had a serious delay this morning today,Delay,negative
Nanjing Rd (E) elevator is broken and not accessible,Accessibility,negative
四平路站早高峰太挤了 for commuters,Crowding,negative
Hailun Rd had a serious delay this morning,Delay,negative
South Shanghai Railway had a serious delay this morning for commuters,Delay,negative
四平路站今天客流正常 today,Other,neutral
人民广场站很干净，影响通勤体验,Cleanliness,positive
Xinzhuang feels dirty today today,Cleanliness,negative
Xujiahui has convenient accessibility,Accessibility,positive
东方体育中心站广播太响，噪音很大 today,Noise,negative
Century Avenue is too noisy today，请尽快处理,Noise,negative
Nanjing W. Rd has convenient accessibility today,Accessibility,positive
中山公园站秩序很好，很安全 during rush hour,Safety,positive
Xinzhuang feels safe and well managed,Safety,positive
Century Avenue is packed during rush hour，影响通勤体验,Crowding,negative
Zhongshan Park is too noisy today today,Noise,negative
Siping Rd is packed during rush hour,Crowding,negative
Laoximen feels dirty today for commuters,Cleanliness,negative
Century Avenue was quiet today during rush hour,Noise,positive
大世界站等了很久还是没有车，请尽快处理,Delay,negative
徐家汇站等了很久还是没有车 for commuters,Delay,negative
Shaanxi S. Rd is packed during rush hour for commuters,Crowding,negative
静安寺站地面有垃圾，卫生不好 today,Cleanliness,negative
Lujiazui is packed during rush hour today,Crowding,negative
东方体育中心站今天很准时，请尽快处理,Delay,positive
Xujiahui is clean and comfortable today,Cleanliness,positive
Century Avenue had a serious delay this morning,Delay,negative
Xujiahui had a serious delay this morning，请尽快处理,Delay,negative
常熟路站今天很安静，请尽快处理,Noise,positive
Jiangsu Rd was quiet today，请尽快处理,Noise,positive
大世界站今天晚点太严重了 today,Delay,negative
Nanjing W. Rd feels dirty today，请尽快处理,Cleanliness,negative
Siping Rd feels dirty today,Cleanliness,negative
东方体育中心站电梯坏了，很不方便，影响通勤体验,Accessibility,negative
Lujiazui was not crowded today during rush hour,Crowding,positive
Caoyang Rd feels safe and well managed，影响通勤体验,Safety,positive
general commuter feedback,Other,neutral
Longyang Road elevator is broken and not accessible，影响通勤体验,Accessibility,negative
Yishan Rd has convenient accessibility during rush hour,Accessibility,positive
Jiangsu Rd elevator is broken and not accessible for commuters,Accessibility,negative
Siping Rd is clean and comfortable，影响通勤体验,Cleanliness,positive
Oriental Sports Ctr was on time today during rush hour,Delay,positive
Hailun Rd is clean and comfortable for commuters,Cleanliness,positive
人民广场站广播太响，噪音很大,Noise,negative
Lujiazui had a serious delay this morning，影响通勤体验,Delay,negative
Xujiahui is too noisy today for commuters,Noise,negative
Xujiahui has convenient accessibility，影响通勤体验,Accessibility,positive
Zhenping Rd was on time today,Delay,positive
莘庄站等了很久还是没有车，请尽快处理,Delay,negative
人民广场站今天客流正常，影响通勤体验,Other,neutral
汉中路站人流组织不好，存在安全问题 during rush hour,Safety,negative
Oriental Sports Ctr is too noisy today during rush hour,Noise,negative
东方体育中心站今天晚点太严重了，请尽快处理,Delay,negative
南京西路站施工声音太吵,Noise,negative
龙阳路站人流组织不好，存在安全问题,Safety,negative
上海南站站有异味，环境太差，影响通勤体验,Cleanliness,negative
Shanghai Railway Stn was quiet today during rush hour,Noise,positive
常熟路站秩序很好，很安全 during rush hour,Safety,positive
Siping Rd is clean and comfortable,Cleanliness,positive
徐家汇站秩序很好，很安全 during rush hour,Safety,positive
Shaanxi S. Rd is packed during rush hour today,Crowding,negative
Dashijie feels dirty today,Cleanliness,negative
Longyang Road is packed during rush hour for commuters,Crowding,negative
Jiangsu Rd is packed during rush hour today,Crowding,negative
大世界站今天晚点太严重了,Delay,negative
Pudong Intl Airport is clean and comfortable，影响通勤体验,Cleanliness,positive
曹杨路站无障碍通道不好找,Accessibility,negative
镇坪路站今天客流正常 for commuters,Other,neutral
曹杨路站电梯坏了，很不方便，影响通勤体验,Accessibility,negative
上海火车站站等了很久还是没有车，影响通勤体验,Delay,negative
Nanjing W. Rd has normal passenger flow today during rush hour,Other,neutral
中山公园站有异味，环境太差，请尽快处理,Cleanliness,negative
东方体育中心站广播太响，噪音很大 during rush hour,Noise,negative
Zhenping Rd was not crowded today during rush hour,Crowding,positive
Longyang Road is too noisy today，影响通勤体验,Noise,negative
莘庄站人多到挤不上车,Crowding,negative
徐家汇站秩序很好，很安全,Safety,positive
南京西路站今天很准时 today,Delay,positive
莘庄站人多到挤不上车，请尽快处理,Crowding,negative
南京东路站今天晚点太严重了，请尽快处理,Delay,negative
Zhenping Rd is too noisy today，请尽快处理,Noise,negative
莘庄站等了很久还是没有车 today,Delay,negative
Oriental Sports Ctr was not crowded today，请尽快处理,Crowding,positive
豫园站地面有垃圾，卫生不好 today,Cleanliness,negative
Shanghai Railway Stn feels unsafe at the platform，影响通勤体验,Safety,negative
陆家嘴站地面有垃圾，卫生不好 during rush hour,Cleanliness,negative
南京东路站今天很安静，影响通勤体验,Noise,positive
静安寺站电梯坏了，很不方便,Accessibility,negative
Caoyang Rd was on time today,Delay,positive
常熟路站很干净，影响通勤体验,Cleanliness,positive
汉中路站等了很久还是没有车 for commuters,Delay,negative
Zhongshan Park was on time today for commuters,Delay,positive
东方体育中心站等了很久还是没有车 for commuters,Delay,negative
Changshu Rd is too noisy today，请尽快处理,Noise,negative
南京西路站人多到挤不上车，影响通勤体验,Crowding,negative
中山公园站很干净,Cleanliness,positive
海伦路站秩序很好，很安全 during rush hour,Safety,positive
Caoyang Rd was not crowded today，影响通勤体验,Crowding,positive
Zhongshan Park had a serious delay this morning for commuters,Delay,negative
Yu Garden feels unsafe at the platform，请尽快处理,Safety,negative
Nanjing Rd (E) had a serious delay this morning,Delay,negative
Dashijie is too noisy today，请尽快处理,Noise,negative
Caoyang Rd was not crowded today today,Crowding,positive
镇坪路站无障碍通道不好找,Accessibility,negative
豫园站秩序很好，很安全,Safety,positive
豫园站今天客流正常，请尽快处理,Other,neutral
南京西路站地面有垃圾，卫生不好，影响通勤体验,Cleanliness,negative
Laoximen feels dirty today today,Cleanliness,negative
Hongkou Stadium has convenient accessibility during rush hour,Accessibility,positive
陕西南路站有异味，环境太差 for commuters,Cleanliness,negative
海伦路站电梯方便，无障碍体验很好，请尽快处理,Accessibility,positive
宜山路站人流组织不好，存在安全问题 for commuters,Safety,negative
Caoyang Rd was on time today，请尽快处理,Delay,positive
Lujiazui was not crowded today today,Crowding,positive
常熟路站今天客流正常 during rush hour,Other,neutral
South Shanghai Railway was not crowded today today,Crowding,positive
Nanjing Rd (E) is too noisy today during rush hour,Noise,negative
乘客反馈已经收到,Other,neutral
中山公园站今天很安静，请尽快处理,Noise,positive
People's Square elevator is broken and not accessible during rush hour,Accessibility,negative
Xinzhuang has convenient accessibility,Accessibility,positive
徐家汇站施工声音太吵，影响通勤体验,Noise,negative
世纪大道站今天很安静，请尽快处理,Noise,positive
上海南站站人多到挤不上车，请尽快处理,Crowding,negative
Lujiazui feels unsafe at the platform，请尽快处理,Safety,negative
南京西路站今天人流顺畅 for commuters,Crowding,positive
Lujiazui feels safe and well managed during rush hour,Safety,positive
Oriental Sports Ctr was on time today，影响通勤体验,Delay,positive
Zhenping Rd was quiet today during rush hour,Noise,positive
常熟路站有异味，环境太差,Cleanliness,negative
Shanghai Railway Stn was quiet today for commuters,Noise,positive
Hongkou Stadium feels safe and well managed during rush hour,Safety,positive
大世界站电梯方便，无障碍体验很好，影响通勤体验,Accessibility,positive
Zhenping Rd was on time today during rush hour,Delay,positive
陆家嘴站无障碍通道不好找 during rush hour,Accessibility,negative
海伦路站地面有垃圾，卫生不好 today,Cleanliness,negative
上海火车站站等了很久还是没有车,Delay,negative
南京东路站有一些乘客排队 for commuters,Other,neutral
Jiangsu Rd feels dirty today，请尽快处理,Cleanliness,negative
镇坪路站扶梯口推搡很危险 during rush hour,Safety,negative
Hongkou Stadium had a serious delay this morning，影响通勤体验,Delay,negative
South Shanghai Railway is too noisy today,Noise,negative
中山公园站早高峰太挤了 today,Crowding,negative
Siping Rd has normal passenger flow today for commuters,Other,neutral
Nanjing W. Rd was quiet today，请尽快处理,Noise,positive
Longyang Road was on time today，影响通勤体验,Delay,positive
Xujiahui elevator is broken and not accessible，请尽快处理,Accessibility,negative
豫园站电梯方便，无障碍体验很好 during rush hour,Accessibility,positive
Yishan Rd was on time today for commuters,Delay,positive
陆家嘴站有异味，环境太差，影响通勤体验,Cleanliness,negative
Nanjing W. Rd was not crowded today for commuters,Crowding,positive
龙阳路站施工声音太吵,Noise,negative
江苏路站有一些乘客排队 during rush hour,Other,neutral
虹桥火车站站无障碍通道不好找 during rush hour,Accessibility,negative
人民广场站秩序很好，很安全,Safety,positive
Laoximen was on time today during rush hour,Delay,positive
Zhenping Rd feels dirty today during rush hour,Cleanliness,negative
四平路站今天晚点太严重了，影响通勤体验,Delay,negative
四平路站有一些乘客排队，请尽快处理,Other,neutral
Shanghai Railway Stn was not crowded today during rush hour,Crowding,positive
中山公园站广播太响，噪音很大，影响通勤体验,Noise,negative
Century Avenue feels dirty today for commuters,Cleanliness,negative
Jing'an Temple was not crowded today during rush hour,Crowding,positive
Pudong Intl Airport was not crowded today during rush hour,Crowding,positive
中山公园站人流组织不好，存在安全问题，请尽快处理,Safety,negative
People's Square feels safe and well managed for commuters,Safety,positive
Nanjing W. Rd feels unsafe at the platform for commuters,Safety,negative
人民广场站电梯坏了，很不方便，影响通勤体验,Accessibility,negative
老西门站今天晚点太严重了 for commuters,Delay,negative
世纪大道站电梯坏了，很不方便 today,Accessibility,negative
陆家嘴站等了很久还是没有车，请尽快处理,Delay,negative
Century Avenue elevator is broken and not accessible，请尽快处理,Accessibility,negative
Shaanxi S. Rd elevator is broken and not accessible for commuters,Accessibility,negative
Shanghai Railway Stn has normal passenger flow today during rush hour,Other,neutral
龙阳路站今天很安静 during rush hour,Noise,positive
四平路站等了很久还是没有车 during rush hour,Delay,negative
龙阳路站有一些乘客排队,Other,neutral
上海南站站人流组织不好，存在安全问题,Safety,negative
Yishan Rd is clean and comfortable，影响通勤体验,Cleanliness,positive
Changshu Rd is clean and comfortable today,Cleanliness,positive
徐家汇站施工声音太吵 during rush hour,Noise,negative
Nanjing W. Rd feels unsafe at the platform today,Safety,negative
Yishan Rd was not crowded today,Crowding,positive
老西门站有异味，环境太差，请尽快处理,Cleanliness,negative
四平路站有异味，环境太差 today,Cleanliness,negative
Century Avenue is packed during rush hour for commuters,Crowding,negative
浦东机场站今天很准时 today,Delay,positive
南京东路站电梯坏了，很不方便，请尽快处理,Accessibility,negative
南京东路站扶梯口推搡很危险，请尽快处理,Safety,negative
Hongkou Stadium has convenient accessibility for commuters,Accessibility,positive
莘庄站很干净,Cleanliness,positive
人民广场站施工声音太吵,Noise,negative
Jing'an Temple was on time today，请尽快处理,Delay,positive
Jiangsu Rd feels safe and well managed,Safety,positive
汉中路站今天客流正常，影响通勤体验,Other,neutral
Laoximen elevator is broken and not accessible,Accessibility,negative
浦东机场站有异味，环境太差 during rush hour,Cleanliness,negative
四平路站广播太响，噪音很大，影响通勤体验,Noise,negative
Zhongshan Park feels unsafe at the platform for commuters,Safety,negative
上海南站站等了很久还是没有车，影响通勤体验,Delay,negative
常熟路站人多到挤不上车 for commuters,Crowding,negative
Century Avenue was on time today for commuters,Delay,positive
东方体育中心站施工声音太吵 for commuters,Noise,negative
中山公园站很干净，请尽快处理,Cleanliness,positive
陕西南路站今天很安静,Noise,positive
Yu Garden was on time today during rush hour,Delay,positive
老西门站很干净，请尽快处理,Cleanliness,positive
陕西南路站扶梯口推搡很危险 for commuters,Safety,negative
Nanjing Rd (E) had a serious delay this morning today,Delay,negative
海伦路站今天很安静 today,Noise,positive
上海火车站站今天人流顺畅，影响通勤体验,Crowding,positive
中山公园站等了很久还是没有车 today,Delay,negative
宜山路站今天晚点太严重了,Delay,negative
人民广场站今天人流顺畅，请尽快处理,Crowding,positive
Longyang Road was not crowded today，请尽快处理,Crowding,positive
莘庄站很干净 for commuters,Cleanliness,positive
徐家汇站有一些乘客排队 during rush hour,Other,neutral
Hongkou Stadium has normal passenger flow today，影响通勤体验,Other,neutral
汉中路站广播太响，噪音很大 for commuters,Noise,negative
浦东机场站扶梯口推搡很危险，请尽快处理,Safety,negative
江苏路站今天晚点太严重了 for commuters,Delay,negative
莘庄站扶梯口推搡很危险，影响通勤体验,Safety,negative
South Shanghai Railway is packed during rush hour today,Crowding,negative
上海南站站人多到挤不上车，请尽快处理,Crowding,negative
老西门站广播太响，噪音很大，影响通勤体验,Noise,negative
曹杨路站电梯方便，无障碍体验很好 for commuters,Accessibility,positive
南京西路站有异味，环境太差 for commuters,Cleanliness,negative
Zhenping Rd was quiet today during rush hour,Noise,positive
江苏路站很干净 for commuters,Cleanliness,positive
南京西路站很干净 for commuters,Cleanliness,positive
东方体育中心站无障碍通道不好找，请尽快处理,Accessibility,negative
海伦路站人多到挤不上车,Crowding,negative
Hanzhong Rd has convenient accessibility today,Accessibility,positive
Hongqiao Railway Stn feels unsafe at the platform，影响通勤体验,Safety,negative
静安寺站无障碍通道不好找 for commuters,Accessibility,negative
南京东路站电梯方便，无障碍体验很好，影响通勤体验,Accessibility,positive
江苏路站人多到挤不上车 today,Crowding,negative
海伦路站今天很准时,Delay,positive
世纪大道站等了很久还是没有车，请尽快处理,Delay,negative
老西门站等了很久还是没有车 during rush hour,Delay,negative
上海南站站电梯坏了，很不方便，影响通勤体验,Accessibility,negative
Laoximen is too noisy today during rush hour,Noise,negative
Laoximen is too noisy today for commuters,Noise,negative
徐家汇站地面有垃圾，卫生不好,Cleanliness,negative
Yu Garden feels unsafe at the platform，请尽快处理,Safety,negative
汉中路站今天晚点太严重了 for commuters,Delay,negative
Changshu Rd is packed during rush hour,Crowding,negative
东方体育中心站今天很安静 for commuters,Noise,positive
南京东路站地面有垃圾，卫生不好 for commuters,Cleanliness,negative
陕西南路站地面有垃圾，卫生不好 for commuters,Cleanliness,negative
曹杨路站有异味，环境太差 during rush hour,Cleanliness,negative
Shaanxi S. Rd has normal passenger flow today,Other,neutral
徐家汇站施工声音太吵 today,Noise,negative
浦东机场站很干净 during rush hour,Cleanliness,positive
中山公园站今天人流顺畅,Crowding,positive
Century Avenue has convenient accessibility，影响通勤体验,Accessibility,positive
Yu Garden is clean and comfortable for commuters,Cleanliness,positive
镇坪路站电梯方便，无障碍体验很好，影响通勤体验,Accessibility,positive
南京西路站电梯坏了，很不方便，请尽快处理,Accessibility,negative
汉中路站人流组织不好，存在安全问题 today,Safety,negative
徐家汇站今天晚点太严重了，请尽快处理,Delay,negative
老西门站扶梯口推搡很危险，影响通勤体验,Safety,negative
Yishan Rd is too noisy today for commuters,Noise,negative
Xinzhuang was on time today during rush hour,Delay,positive
上海南站站电梯方便，无障碍体验很好，影响通勤体验,Accessibility,positive
Zhenping Rd has normal passenger flow today during rush hour,Other,neutral
豫园站有异味，环境太差，请尽快处理,Cleanliness,negative
Laoximen had a serious delay this morning today,Delay,negative
静安寺站早高峰太挤了，请尽快处理,Crowding,negative
大世界站广播太响，噪音很大，影响通勤体验,Noise,negative
宜山路站等了很久还是没有车 for commuters,Delay,negative
宜山路站等了很久还是没有车，请尽快处理,Delay,negative
豫园站早高峰太挤了 during rush hour,Crowding,negative
老西门站有一些乘客排队 for commuters,Other,neutral
Xujiahui feels unsafe at the platform for commuters,Safety,negative
莘庄站今天很安静，请尽快处理,Noise,positive
老西门站地面有垃圾，卫生不好 during rush hour,Cleanliness,negative
曹杨路站秩序很好，很安全,Safety,positive
浦东机场站无障碍通道不好找,Accessibility,negative
常熟路站今天很安静 today,Noise,positive
Laoximen has convenient accessibility，影响通勤体验,Accessibility,positive
Zhongshan Park was on time today for commuters,Delay,positive
老西门站扶梯口推搡很危险 today,Safety,negative
四平路站地面有垃圾，卫生不好 for commuters,Cleanliness,negative
Nanjing W. Rd has convenient accessibility,Accessibility,positive
宜山路站有异味，环境太差,Cleanliness,negative
静安寺站今天客流正常，影响通勤体验,Other,neutral
江苏路站施工声音太吵，影响通勤体验,Noise,negative
Jiangsu Rd was not crowded today for commuters,Crowding,positive
静安寺站电梯坏了，很不方便 during rush hour,Accessibility,negative
江苏路站等了很久还是没有车,Delay,negative
Yishan Rd is packed during rush hour today,Crowding,negative
Siping Rd feels safe and well managed today,Safety,positive
Caoyang Rd is clean and comfortable，请尽快处理,Cleanliness,positive
虹桥火车站站今天人流顺畅，影响通勤体验,Crowding,positive
莘庄站今天人流顺畅，影响通勤体验,Crowding,positive
Nanjing W. Rd is packed during rush hour during rush hour,Crowding,negative
龙阳路站广播太响，噪音很大 during rush hour,Noise,negative
Yishan Rd is clean and comfortable，请尽快处理,Cleanliness,positive
四平路站今天很安静，请尽快处理,Noise,positive
Yu Garden is clean and comfortable,Cleanliness,positive
汉中路站有异味，环境太差,Cleanliness,negative
徐家汇站地面有垃圾，卫生不好 today,Cleanliness,negative
浦东机场站今天很安静 during rush hour,Noise,positive
Longyang Road is too noisy today，影响通勤体验,Noise,negative
Hanzhong Rd was not crowded today for commuters,Crowding,positive
大世界站今天客流正常 today,Other,neutral
Jiangsu Rd elevator is broken and not accessible，影响通勤体验,Accessibility,negative
虹桥火车站站无障碍通道不好找 for commuters,Accessibility,negative
Century Avenue had a serious delay this morning today,Delay,negative
东方体育中心站早高峰太挤了，请尽快处理,Crowding,negative
陆家嘴站今天晚点太严重了,Delay,negative
Laoximen has normal passenger flow today during rush hour,Other,neutral
Xujiahui was quiet today today,Noise,positive
Hongqiao Railway Stn was quiet today，请尽快处理,Noise,positive
Changshu Rd was not crowded today for commuters,Crowding,positive
江苏路站早高峰太挤了，请尽快处理,Crowding,negative
Caoyang Rd is too noisy today today,Noise,negative
大世界站今天人流顺畅,Crowding,positive
徐家汇站今天晚点太严重了，请尽快处理,Delay,negative
海伦路站今天人流顺畅，影响通勤体验,Crowding,positive
Oriental Sports Ctr has convenient accessibility today,Accessibility,positive
莘庄站电梯坏了，很不方便，请尽快处理,Accessibility,negative
Shanghai Railway Stn feels unsafe at the platform,Safety,negative
徐家汇站广播太响，噪音很大 today,Noise,negative
Jiangsu Rd elevator is broken and not accessible,Accessibility,negative
Oriental Sports Ctr is clean and comfortable for commuters,Cleanliness,positive
南京东路站广播太响，噪音很大 during rush hour,Noise,negative
莘庄站有一些乘客排队 today,Other,neutral
人民广场站施工声音太吵 for commuters,Noise,negative
世纪大道站电梯方便，无障碍体验很好，影响通勤体验,Accessibility,positive
上海火车站站人流组织不好，存在安全问题，影响通勤体验,Safety,negative
Hongkou Stadium has convenient accessibility for commuters,Accessibility,positive
江苏路站无障碍通道不好找,Accessibility,negative
Nanjing W. Rd had a serious delay this morning during rush hour,Delay,negative
宜山路站等了很久还是没有车 during rush hour,Delay,negative
上海南站站电梯坏了，很不方便 during rush hour,Accessibility,negative
南京东路站今天晚点太严重了 during rush hour,Delay,negative
Caoyang Rd elevator is broken and not accessible，影响通勤体验,Accessibility,negative
浦东机场站等了很久还是没有车,Delay,negative
上海南站站无障碍通道不好找，影响通勤体验,Accessibility,negative
人民广场站施工声音太吵，影响通勤体验,Noise,negative
上海南站站施工声音太吵 today,Noise,negative
Nanjing Rd (E) is clean and comfortable during rush hour,Cleanliness,positive
海伦路站人多到挤不上车 during rush hour,Crowding,negative
莘庄站有异味，环境太差 during rush hour,Cleanliness,negative
汉中路站有异味，环境太差 today,Cleanliness,negative
虹口足球场站电梯方便，无障碍体验很好，请尽快处理,Accessibility,positive
Caoyang Rd elevator is broken and not accessible during rush hour,Accessibility,negative
豫园站今天很准时 during rush hour,Delay,positive
老西门站早高峰太挤了,Crowding,negative
Zhenping Rd feels dirty today，影响通勤体验,Cleanliness,negative
人民广场站人多到挤不上车 for commuters,Crowding,negative
常熟路站有一些乘客排队，影响通勤体验,Other,neutral
徐家汇站电梯坏了，很不方便 for commuters,Accessibility,negative
Changshu Rd was quiet today，请尽快处理,Noise,positive
南京东路站扶梯口推搡很危险，影响通勤体验,Safety,negative
浦东机场站今天客流正常 today,Other,neutral
陕西南路站今天很准时，请尽快处理,Delay,positive
徐家汇站电梯坏了，很不方便，影响通勤体验,Accessibility,negative
海伦路站无障碍通道不好找 during rush hour,Accessibility,negative
陕西南路站很干净，请尽快处理,Cleanliness,positive
Dashijie is packed during rush hour for commuters,Crowding,negative
陆家嘴站早高峰太挤了，请尽快处理,Crowding,negative
Nanjing Rd (E) has convenient accessibility，影响通勤体验,Accessibility,positive
Century Avenue was on time today during rush hour,Delay,positive
汉中路站电梯坏了，很不方便 for commuters,Accessibility,negative
Yu Garden feels dirty today，影响通勤体验,Cleanliness,negative
大世界站今天人流顺畅，影响通勤体验,Crowding,positive
南京东路站早高峰太挤了 for commuters,Crowding,negative
Dashijie feels dirty today for commuters,Cleanliness,negative
虹桥火车站站无障碍通道不好找 for commuters,Accessibility,negative
静安寺站有异味，环境太差 today,Cleanliness,negative
宜山路站扶梯口推搡很危险，请尽快处理,Safety,negative
汉中路站电梯方便，无障碍体验很好 today,Accessibility,positive
Jing'an Temple has convenient accessibility，请尽快处理,Accessibility,positive
大世界站等了很久还是没有车 today,Delay,negative
Zhenping Rd has convenient accessibility,Accessibility,positive
四平路站施工声音太吵 for commuters,Noise,negative
莘庄站早高峰太挤了，请尽快处理,Crowding,negative
Nanjing Rd (E) is packed during rush hour，影响通勤体验,Crowding,negative
静安寺站电梯坏了，很不方便，请尽快处理,Accessibility,negative
Xujiahui feels safe and well managed，影响通勤体验,Safety,positive
虹口足球场站今天人流顺畅,Crowding,positive
曹杨路站今天人流顺畅，影响通勤体验,Crowding,positive
Pudong Intl Airport is too noisy today during rush hour,Noise,negative
老西门站今天很准时，请尽快处理,Delay,positive
陕西南路站今天人流顺畅，影响通勤体验,Crowding,positive
虹口足球场站有一些乘客排队 during rush hour,Other,neutral
浦东机场站人流组织不好，存在安全问题，影响通勤体验,Safety,negative
南京东路站等了很久还是没有车,Delay,negative
Nanjing Rd (E) was quiet today，影响通勤体验,Noise,positive
老西门站电梯方便，无障碍体验很好 for commuters,Accessibility,positive
Nanjing W. Rd elevator is broken and not accessible，请尽快处理,Accessibility,negative
Yu Garden is clean and comfortable，影响通勤体验,Cleanliness,positive
上海火车站站广播太响，噪音很大,Noise,negative
Shanghai Railway Stn feels dirty today for commuters,Cleanliness,negative
浦东机场站人流组织不好，存在安全问题，影响通勤体验,Safety,negative
陆家嘴站有异味，环境太差，请尽快处理,Cleanliness,negative
Shanghai Railway Stn was not crowded today,Crowding,positive
Laoximen has normal passenger flow today today,Other,neutral
陆家嘴站人流组织不好，存在安全问题 during rush hour,Safety,negative
虹口足球场站人流组织不好，存在安全问题 for commuters,Safety,negative
Century Avenue has convenient accessibility for commuters,Accessibility,positive
曹杨路站今天晚点太严重了,Delay,negative
Lujiazui had a serious delay this morning,Delay,negative
海伦路站今天晚点太严重了，影响通勤体验,Delay,negative
Jing'an Temple was on time today during rush hour,Delay,positive
南京西路站施工声音太吵，影响通勤体验,Noise,negative
Caoyang Rd was on time today，影响通勤体验,Delay,positive
大世界站很干净 during rush hour,Cleanliness,positive
宜山路站今天客流正常 for commuters,Other,neutral
Oriental Sports Ctr feels safe and well managed，请尽快处理,Safety,positive
虹口足球场站今天很准时 today,Delay,positive
Shaanxi S. Rd was not crowded today,Crowding,positive
People's Square elevator is broken and not accessible，影响通勤体验,Accessibility,negative
Hanzhong Rd is clean and comfortable for commuters,Cleanliness,positive
Hongqiao Railway Stn was on time today,Delay,positive
世纪大道站地面有垃圾，卫生不好 today,Cleanliness,negative
虹口足球场站早高峰太挤了 today,Crowding,negative
South Shanghai Railway was quiet today for commuters,Noise,positive
Shanghai Railway Stn has convenient accessibility，请尽快处理,Accessibility,positive
Zhenping Rd was quiet today today,Noise,positive
Lujiazui had a serious delay this morning during rush hour,Delay,negative
老西门站今天晚点太严重了 during rush hour,Delay,negative
South Shanghai Railway has normal passenger flow today today,Other,neutral
Zhongshan Park had a serious delay this morning，影响通勤体验,Delay,negative
世纪大道站有异味，环境太差 today,Cleanliness,negative
Nanjing Rd (E) feels dirty today during rush hour,Cleanliness,negative
Shaanxi S. Rd is too noisy today，影响通勤体验,Noise,negative
南京西路站今天很安静 for commuters,Noise,positive
